101575   78.5211090000      78.5210897  -40.0443400000     -40.0443792     .0025  3312.583  3167.759    15.853     .0020      .028     .0035    15.825     .0029   15.836   15.780
 60179   78.5120416667      78.5120206  -40.0555555556     -40.0555276     .0019  3812.329  2365.023    18.839     .0050      .576     .0086    18.263     .0070   18.989   18.221
 89399   78.5342083333      78.5342203  -40.0399166667     -40.0399062     .0009  2588.813  3489.815    17.304     .0680      .515     .0805    16.789     .0430   17.430   16.746
 63103   78.5071666667      78.5071721  -40.0541666667     -40.0541237     .0025  4079.553  2466.047    18.804     .0010      .543     .0041    18.261     .0040   18.942   18.219
 63103   78.5071666667      78.5071721  -40.0541666667     -40.0541237     .0025  4079.553  2466.047    18.804     .0010      .543     .0041    18.261     .0040   18.942   18.219
 49318   78.5266380000      78.5265884  -40.0471800000     -40.0471606     .0025  3009.497  2967.508    19.208     .0150      .556     .0180    18.652     .0100   19.350   18.610
101582   78.5210420000      78.5211081  -40.0442300000     -40.0442229     .0031  3311.572  3179.012    21.539     .0500      .678     .0568    20.861     .0270   21.727   20.821
101581   78.5212590000      78.5212218  -40.0442000000     -40.0442116     .0018  3305.297  3179.828    20.066     .0170      .482     .0202    19.584     .0110   20.178   19.541
101972   78.5209500000      78.5209045  -40.0442800000     -40.0442283     .0038  3322.790  3178.622    19.166     .0190      .469     .0206    18.697     .0080   19.272   18.655
 86912   78.5367083333      78.5367256  -40.0435000000     -40.0435082     .0009  2450.735  3230.446    17.640     .0045      .109     .0078    17.531     .0064   17.639   17.489
 49307   78.5266930000      78.5266597  -40.0472200000     -40.0472328     .0017  3005.569  2962.313    19.815     .0460      .587     .0863    19.228     .0730   19.970   19.186
 63447   78.5065000000      78.5065021  -40.0606388889     -40.0606381     .0001  4116.375  1996.998    18.834     .0018      .533     .0021    18.301     .0010   18.966   18.258
 42465   78.5333333333      78.5333775  -40.0585555556     -40.0586071     .0036  2635.373  2143.352    20.558     .0130      .546     .0184    20.012     .0130   20.697   19.970
 90979   78.5322916667      78.5322806  -40.0443888889     -40.0443850     .0006  2695.754  3167.336    14.825     .0012      .834     .0018    13.991     .0013   15.068   13.954
 59236   78.5133750000      78.5133897  -40.0572222222     -40.0571981     .0016  3736.857  2244.753    15.959     .0020      .604     .0031    15.355     .0023   16.119   15.313
 49758   78.5264760000      78.5264599  -40.0473600000     -40.0473418     .0013  3016.579  2954.460    18.819     .0077      .600     .0117    18.219     .0088   18.978   18.178
 49786   78.5265080000      78.5265234  -40.0471900000     -40.0472031     .0010  3013.080  2964.452    20.069     .0120      .160     .0170    19.909     .0120   20.079   19.866
 44293   78.5316666667      78.5316484  -40.0546111111     -40.0545853     .0017  2730.641  2432.917    15.169     .0014      .812     .0021    14.357     .0015   15.404   14.320
 51786   78.5240660000      78.5240732  -40.0505500000     -40.0505815     .0018  3148.117  2721.204    16.430     .0025      .028     .0045    16.402     .0037   16.413   16.357
 51786   78.5238900000      78.5240732  -40.0505500000     -40.0505815     .0086  3148.117  2721.204    16.430     .0025      .028     .0045    16.402     .0037   16.413   16.357
