n2_id,x_n2,y_n2,ra_n2,dec_n2,mag_n2,n2_err,apert_n2,cps,correct_cps,mag_n2_correc,n2-v_1,xcd_n2,ycd_n2,r_n2,phi_n2,theta_n2,age,log(Z),mass,logl,logt,logg,phase,composition,log(weight),V,U,B,R,I,FUV,NUV,caf2,baf2,sapph,silica,nuv_silica,b15,b13,b4,n2,aFUV,aNUV,aV,aI,fuv-nuv,fuv-v,nuv-v,fuv-i,nuv-i,acaf2,an2,asapph,caf2-n2,sapph-n2,caf2-sapph,caf2-v,sapph-v,n2-v_2,V-I,Separation
4013,1899.317,2454.703,13.172723,-26.56505,20.446,0.094,20.246,0.0305914456,0.030607761,20.245,2.215,2.8184,-0.3499,2.84,352.9235,262.9235,9.9,-2.9208,0.92929524,0.6122,3.8208,4.022,0,0.4787,-2.8928,3.222,4.256,3.468,3.169,3.17,10.671,6.194,10.849,10.283,9.957,8.566,5.975,6.374,6.071,5.65,5.449,25.439,20.962,17.990000000000002,17.938000000000002,4.477,7.448999999999998,2.9719999999999978,7.500999999999998,3.0239999999999974,25.617,20.217,24.725,5.400000000000002,4.508000000000003,0.8919999999999995,7.626999999999999,6.734999999999999,2.2269999999999968,0.0519999999999996,0.030463897612067106
2068,1759.477,2176.02,13.201797,-26.590165,19.888,0.08,19.688,0.0511446252,0.0511902503,19.687,2.069,4.4202,1.4502,4.652,18.164,288.164,9.7,-2.9208,1.04023349,0.722,3.8596,4.1165,0,0.4787,-2.6514,2.921,3.939,3.069,2.929,2.972,9.116,5.593,9.228,8.758,8.436,7.255,5.42,5.741,5.47,5.137,4.977,23.884,20.361,17.689,17.740000000000002,3.5229999999999997,6.195,2.6720000000000006,6.143999999999998,2.6209999999999987,23.996000000000002,19.745,23.204,4.251000000000001,3.4589999999999996,0.7920000000000016,6.307000000000002,5.515000000000001,2.056000000000001,-0.05100000000000193,0.05943877764975649
2260,1757.702,2202.205,13.200888,-26.587235,19.77,0.064,19.57,0.0570164272,0.0570731378,19.569,2.079,3.1325,4.2867,5.3093,53.843,323.843,9.7,-2.9208,1.05089414,0.7855,3.8536,4.0336,0,0.4787,-2.8969,2.76,3.788,2.92,2.758,2.798,9.123,5.492,9.24,8.761,8.439,7.236,5.312,5.645,5.368,5.023,4.856,23.891,20.26,17.528,17.566000000000003,3.6309999999999967,6.3629999999999995,2.732000000000003,6.324999999999996,2.693999999999999,24.008000000000003,19.624000000000002,23.207,4.384,3.5829999999999984,0.8010000000000019,6.480000000000004,5.679000000000002,2.0960000000000036,-0.03800000000000381,0.05756711973245627
2500,1886.396,2234.299,13.183777,-26.588644,20.919,0.14,20.719,0.0197879134,0.0197947381,20.719,2.006,-2.2647,6.417,6.8049,109.4387,19.4387,9.35,-2.9208,1.01780212,0.3285,3.846,4.4467,0,0.4787,-2.3129,3.928,4.916,4.121,3.902,3.93,10.48,6.62,10.609,10.099,9.775,8.491,6.433,6.774,6.498,6.139,5.971,25.248,21.388,18.696,18.698,3.8599999999999994,6.552,2.692,6.550000000000001,2.6900000000000013,25.377000000000002,20.739,24.543,4.638000000000002,3.8039999999999985,0.8340000000000032,6.681000000000001,5.846999999999998,2.0429999999999993,-0.0019999999999988916,0.042059510078234205
3100,1760.802,2314.171,13.195696,-26.575117,20.367,0.113,20.167,0.0329003108,0.0329191828,20.166,2.446,-0.9598,-1.8935,2.1229,243.1205,153.1205,9.9,-2.9208,0.93857729,0.7055,3.7998,3.8487,0,0.4787,-3.2574,3.018,4.09,3.32,2.928,2.899,11.441,6.239,11.693,11.059,10.73,9.24,5.986,6.445,6.118,5.632,5.409,26.209000000000003,21.007,17.786,17.667,5.202000000000002,8.423000000000002,3.221,8.542000000000002,3.34,26.461,20.177,25.498,6.283999999999999,5.3210000000000015,0.9629999999999974,8.674999999999997,7.712,2.3909999999999982,0.11899999999999977,0.056089240087004985
3368,1836.189,2348.852,13.18499,-26.574207,20.102,0.079,19.902,0.0419952335,0.0420259882,19.901,2.083,-2.5165,-0.5796,2.5823,192.9699,102.9699,9.75,-2.9208,1.0091176,0.6781,3.8512,4.1136,0,0.4787,-2.6508,3.034,4.054,3.203,3.025,3.062,9.457,5.763,9.576,9.09,8.767,7.544,5.581,5.916,5.639,5.289,5.121,24.225,20.531,17.802,17.830000000000002,3.6940000000000026,6.423000000000002,2.728999999999999,6.395,2.700999999999997,24.344,19.889000000000003,23.535,4.454999999999998,3.6459999999999972,0.809000000000001,6.542000000000002,5.7330000000000005,2.0870000000000033,-0.028000000000002245,0.012648245115709708
3165,1899.178,2321.974,13.178446,-26.57955,19.624,0.054,19.424,0.0652228842,0.0652971086,19.423,2.163,4.6958,-1.0007,4.8013,347.9705,257.9705,9.65,-2.9208,1.09304214,0.888,3.8494,3.9311,0,0.4787,-3.1723,2.502,3.541,2.671,2.493,2.531,9.027,5.292,9.149,8.662,8.339,7.114,5.107,5.45,5.167,4.811,4.639,23.795,20.060000000000002,17.27,17.299,3.7349999999999994,6.525000000000002,2.7900000000000027,6.496000000000002,2.761000000000003,23.917,19.407,23.107,4.510000000000002,3.6999999999999993,0.8100000000000023,6.647000000000002,5.837,2.1370000000000005,-0.028999999999999915,0.03052894194876057
3055,1901.833,2308.05,13.17872,-26.581173,20.546,0.081,20.346,0.02789973,0.0279132997,20.345,2.163,-0.0877,2.917,2.9184,91.7216,1.7216,9.9,-2.9208,0.92124391,0.5463,3.826,4.105,0,0.4787,-2.6535,3.385,4.407,3.619,3.338,3.346,10.643,6.296,10.81,10.254,9.928,8.555,6.084,6.47,6.174,5.766,5.572,25.411,21.064,18.153,18.114,4.347000000000001,7.258000000000003,2.9110000000000014,7.297000000000001,2.9499999999999993,25.578000000000003,20.34,24.696,5.238000000000003,4.356000000000002,0.8820000000000014,7.425000000000004,6.543000000000003,2.187000000000001,0.038999999999997925,0.024515056742229764
3089,1830.638,2316.17,13.187073,-26.577566,21.063,0.124,20.863,0.0173300574,0.0173352917,20.863,1.966,-1.0774,-5.4587,5.564,258.8349,168.8349,9.0,-2.9208,1.03528106,0.2872,3.8438,4.487,0,0.4787,-2.0015,4.034,5.019,4.234,4.004,4.029,10.645,6.733,10.778,10.262,9.937,8.639,6.544,6.888,6.612,6.248,6.078,25.413,21.501,18.802,18.797,3.911999999999999,6.611000000000001,2.6990000000000016,6.616,2.7040000000000006,25.546,20.846,24.705,4.699999999999999,3.858999999999998,0.8410000000000011,6.744,5.902999999999999,2.0440000000000005,0.004999999999999005,0.07983129506648504
2121,1901.125,2182.744,13.184192,-26.594841,20.346,0.1,20.146,0.0335428531,0.0335624698,20.145,1.852,-2.1654,1.9233,2.8962,138.388,48.388,9.05,-2.9208,1.13627636,0.5062,3.8778,4.4443,0,0.4787,-2.369,3.476,4.427,3.578,3.522,3.58,9.011,5.892,9.117,8.68,8.361,7.287,5.739,6.021,5.774,5.48,5.343,23.779,20.66,18.244,18.348,3.1189999999999998,5.535,2.4160000000000004,5.431000000000001,2.312000000000001,23.885,20.111,23.129,3.774000000000001,3.0180000000000007,0.7560000000000002,5.641000000000002,4.885000000000002,1.8670000000000009,-0.1039999999999992,0.03716222793858947
2694,1793.125,2257.927,13.194163,-26.582499,20.73,0.106,20.53,0.0235504928,0.0235601606,20.53,1.973,4.2096,3.1024,5.2293,36.3895,306.3895,9.0,-2.9208,1.08684826,0.3965,3.8582,4.4564,0,0.4787,-2.2758,3.75,4.734,3.912,3.75,3.786,9.925,6.348,10.037,9.557,9.234,8.023,6.174,6.492,6.226,5.893,5.737,24.693,21.116,18.518,18.554000000000002,3.5770000000000017,6.175000000000001,2.597999999999999,6.138999999999999,2.5619999999999976,24.805,20.505000000000003,24.002000000000002,4.299999999999997,3.497,0.8029999999999973,6.286999999999999,5.484000000000002,1.9870000000000019,-0.036000000000001364,0.028653672438266126
2215,1767.643,2199.623,13.199784,-26.587897,19.834,0.097,19.634,0.0537526649,0.0538030649,19.633,1.821,1.2464,-3.0847,3.3269,292.0017,202.0017,9.45,-2.9208,1.13093448,0.6902,3.8888,4.3017,0,0.4787,-3.3569,3.019,3.959,3.082,3.085,3.162,8.18,5.36,8.296,7.884,7.568,6.597,5.22,5.479,5.249,4.975,4.847,22.948,20.128,17.787,17.93,2.8200000000000003,5.161000000000001,2.341000000000001,5.018000000000001,2.1980000000000004,23.064,19.615000000000002,22.336,3.448999999999998,2.7209999999999965,0.7280000000000015,5.277000000000001,4.5489999999999995,1.828000000000003,-0.14300000000000068,0.019312674767970123
